iter	Passed	Remaining
0	143	143769
1	144	72132
2	145	48276
3	145	36333
4	146	29177
5	147	24400
6	147	20987
7	148	18424
8	149	16432
9	150	14857
10	150	13568
11	151	12489
12	152	11568
13	153	10787
14	153	10104
15	154	9509
16	155	8978
17	155	8508
18	156	8083
19	157	7705
20	158	7367
21	158	7054
22	159	6770
23	160	6516
24	161	6279
25	161	6057
26	162	5857
27	163	5666
28	163	5489
29	164	5323
30	165	5169
31	166	5027
32	166	4893
33	167	4765
34	168	4647
35	169	4532
36	169	4422
37	170	4320
38	171	4221
39	172	4130
40	172	4041
41	173	3957
42	174	3875
43	174	3797
44	175	3723
45	176	3653
46	176	3583
47	177	3518
48	178	3457
49	178	3396
50	179	3338
51	180	3283
52	180	3233
53	181	3183
54	182	3134
55	183	3087
56	183	3040
57	184	2995
58	185	2952
59	185	2910
60	186	2869
61	187	2829
62	187	2791
63	188	2755
64	189	2718
65	189	2683
66	190	2650
67	190	2617
68	191	2586
69	192	2555
70	192	2525
71	193	2496
72	194	2467
73	194	2439
74	195	2414
75	196	2389
76	197	2364
77	197	2339
78	198	2314
79	199	2290
80	199	2267
81	200	2245
82	200	2220
83	201	2198
84	202	2177
85	203	2157
86	203	2137
87	204	2117
88	205	2098
89	205	2080
90	206	2061
91	207	2043
92	207	2025
93	208	2007
94	208	1990
95	209	1974
96	210	1959
97	211	1944
98	211	1928
99	212	1913
100	213	1898
101	213	1883
102	214	1868
103	215	1854
104	215	1840
105	216	1827
106	217	1813
107	218	1800
108	218	1787
109	219	1775
110	220	1762
111	220	1750
112	221	1738
113	222	1726
114	222	1714
115	223	1702
116	223	1690
117	224	1678
118	225	1668
119	226	1658
120	226	1648
121	227	1637
122	228	1627
123	228	1617
124	229	1606
125	230	1597
126	230	1586
127	231	1576
128	232	1566
129	232	1557
130	233	1548
131	234	1538
132	234	1529
133	235	1520
134	235	1511
135	236	1503
136	237	1495
137	238	1486
138	238	1478
139	239	1470
140	240	1462
141	240	1453
142	241	1446
143	242	1438
144	242	1431
145	243	1423
146	244	1416
147	244	1408
148	245	1401
149	246	1394
150	246	1387
151	247	1380
152	248	1374
153	248	1367
154	249	1360
155	250	1354
156	250	1347
157	251	1340
158	252	1333
159	252	1327
160	253	1320
161	254	1313
162	254	1307
163	255	1302
164	256	1296
165	256	1290
166	257	1284
167	258	1279
168	258	1273
169	259	1267
170	260	1261
171	260	1256
172	261	1250
173	262	1246
174	263	1241
175	263	1235
176	264	1230
177	265	1225
178	265	1219
179	266	1214
180	267	1209
181	267	1204
182	268	1199
183	269	1194
184	269	1188
185	270	1184
186	271	1180
187	272	1175
188	272	1171
189	273	1166
190	274	1161
191	274	1157
192	275	1152
193	276	1148
194	277	1143
195	277	1139
196	278	1135
197	279	1130
198	279	1126
199	280	1122
200	281	1117
201	281	1113
202	282	1109
203	283	1105
204	284	1101
205	284	1097
206	285	1093
207	286	1090
208	287	1086
209	287	1082
210	288	1078
211	289	1074
212	289	1071
213	290	1067
214	291	1063
215	291	1059
216	292	1056
217	293	1052
218	294	1048
219	294	1044
220	295	1041
221	295	1037
222	296	1033
223	297	1030
224	298	1026
225	298	1023
226	299	1019
227	300	1016
228	300	1013
229	301	1010
230	302	1007
231	303	1003
232	303	1000
233	304	997
234	305	994
235	306	991
236	306	987
237	307	984
238	308	980
239	308	977
240	309	974
241	310	971
242	310	967
243	311	965
244	312	961
245	312	958
246	313	955
247	314	953
248	315	950
249	315	947
250	316	944
251	317	942
252	318	939
253	318	936
254	319	933
255	320	930
256	320	927
257	321	924
258	322	921
259	322	918
260	323	915
261	324	912
262	324	909
263	325	906
264	325	904
265	326	901
266	327	898
267	327	895
268	328	893
269	329	890
270	330	887
271	330	885
272	331	882
273	332	880
274	332	877
275	333	874
276	334	872
277	334	869
278	335	867
279	336	864
280	336	862
281	337	859
282	338	856
283	338	854
284	339	851
285	340	849
286	340	846
287	341	844
288	342	842
289	343	840
290	343	837
291	344	835
292	345	833
293	346	830
294	346	828
295	347	826
296	348	824
297	349	822
298	349	820
299	350	817
300	351	815
301	351	813
302	352	811
303	353	808
304	353	806
305	354	803
306	355	801
307	355	799
308	356	797
309	357	795
310	357	792
311	358	790
312	359	788
313	359	786
314	360	784
315	361	782
316	362	780
317	363	778
318	363	776
319	364	774
320	364	772
321	365	769
322	366	767
323	366	765
324	367	763
325	368	761
326	368	758
327	369	756
328	370	754
329	370	752
330	371	750
331	372	748
332	372	746
333	373	744
334	374	742
335	374	740
336	375	738
337	376	736
338	376	734
339	377	732
340	378	731
341	378	729
342	379	727
343	380	725
344	381	723
345	381	721
346	382	719
347	383	717
348	383	715
349	384	713
350	385	711
351	385	710
352	386	708
353	387	706
354	387	704
355	388	702
356	389	701
357	389	699
358	390	697
359	391	696
360	392	694
361	393	692
362	393	691
363	394	689
364	395	687
365	396	686
366	397	684
367	397	683
368	398	681
369	399	679
370	399	677
371	400	676
372	401	674
373	402	673
374	402	671
375	403	669
376	404	667
377	404	666
378	405	664
379	406	663
380	407	661
381	407	659
382	408	658
383	409	656
384	410	655
385	410	653
386	411	651
387	412	650
388	412	648
